country,year,info
barbados,1947,
barbados,1952,
barbados,1956,
barbados,1957,
barbados,1958,
barbados,1959,
barbados,1960,
barbados,1961,
barbados,1962,
barbados,1963,
barbados,1964,
barbados,1965,
barbados,1966,
barbados,1967,
barbados,1968,
barbados,1969,
barbados,1970,
barbados,1971,
barbados,1972,
barbados,1973,
barbados,1974,
barbados,1975,
basutoland,1947,
basutoland,1952,
basutoland,1956,
basutoland,1957,
basutoland,1958,
basutoland,1959,
basutoland,1960,
basutoland,1961,
basutoland,1962,
basutoland,1963,
basutoland,1964,
basutoland,1965,
basutoland,1966,
basutoland,1967,
basutoland,1968,
basutoland,1969,
basutoland,1970,
basutoland,1971,
basutoland,1972,
basutoland,1973,
basutoland,1974,
basutoland,1975,
bechuanaland,1947,
bechuanaland,1952,
bechuanaland,1956,
bechuanaland,1957,
bechuanaland,1958,
bechuanaland,1959,
bechuanaland,1960,
bechuanaland,1961,
bechuanaland,1962,
bechuanaland,1963,
bechuanaland,1964,
bechuanaland,1965,
bechuanaland,1966,
bechuanaland,1967,
bechuanaland,1968,
bechuanaland,1969,
bechuanaland,1970,
bechuanaland,1971,
bechuanaland,1972,
bechuanaland,1973,
bechuanaland,1974,
bechuanaland,1975,
belgium,1947,
belgium,1952,
belgium,1956,
belgium,1957,
belgium,1958,
belgium,1959,
belgium,1960,
belgium,1961,
belgium,1962,
belgium,1963,
belgium,1964,
belgium,1965,
belgium,1966,
belgium,1967,
belgium,1968,
belgium,1969,
belgium,1970,
belgium,1971,
belgium,1972,
belgium,1973,
belgium,1974,
belgium,1975,
benin,1947,
benin,1952,
benin,1956,
benin,1957,
benin,1958,
benin,1959,
benin,1960,
benin,1961,
benin,1962,
benin,1963,
benin,1964,
benin,1965,
benin,1966,
benin,1967,
benin,1968,
benin,1969,
benin,1970,
benin,1971,
benin,1972,
benin,1973,
benin,1974,
benin,1975,
"berlin, west",1947,
"berlin, west",1952,
"berlin, west",1956,
"berlin, west",1957,
"berlin, west",1958,
"berlin, west",1959,
"berlin, west",1960,
"berlin, west",1961,
"berlin, west",1962,
"berlin, west",1963,
"berlin, west",1964,
"berlin, west",1965,
"berlin, west",1966,
"berlin, west",1967,
"berlin, west",1968,
"berlin, west",1969,
"berlin, west",1970,
"berlin, west",1971,
"berlin, west",1972,
"berlin, west",1973,
"berlin, west",1974,
"berlin, west",1975,
"berlin, west -- part of east german party",1947,
"berlin, west -- part of east german party",1952,
"berlin, west -- part of east german party",1956,
"berlin, west -- part of east german party",1957,
"berlin, west -- part of east german party",1958,
"berlin, west -- part of east german party",1959,
"berlin, west -- part of east german party",1960,
"berlin, west -- part of east german party",1961,
"berlin, west -- part of east german party",1962,
"berlin, west -- part of east german party",1963,
"berlin, west -- part of east german party",1964,
"berlin, west -- part of east german party",1965,
"berlin, west -- part of east german party",1966,
"berlin, west -- part of east german party",1967,
"berlin, west -- part of east german party",1968,
"berlin, west -- part of east german party",1969,
"berlin, west -- part of east german party",1970,
"berlin, west -- part of east german party",1971,
"berlin, west -- part of east german party",1972,
"berlin, west -- part of east german party",1973,
"berlin, west -- part of east german party",1974,
"berlin, west -- part of east german party",1975,
bolivia,1947,
bolivia,1952,
bolivia,1956,
bolivia,1957,
bolivia,1958,
bolivia,1959,
bolivia,1960,
bolivia,1961,
bolivia,1962,
bolivia,1963,
bolivia,1964,
bolivia,1965,
bolivia,1966,
bolivia,1967,
bolivia,1968,
bolivia,1969,
bolivia,1970,
bolivia,1971,
bolivia,1972,
bolivia,1973,
bolivia,1974,
bolivia,1975,
bonaire,1947,
bonaire,1952,
bonaire,1956,
bonaire,1957,
bonaire,1958,
bonaire,1959,
bonaire,1960,
bonaire,1961,
bonaire,1962,
bonaire,1963,
bonaire,1964,
bonaire,1965,
bonaire,1966,
bonaire,1967,
bonaire,1968,
bonaire,1969,
bonaire,1970,
bonaire,1971,
bonaire,1972,
bonaire,1973,
bonaire,1974,
bonaire,1975,
botswana,1947,
botswana,1952,
botswana,1956,
botswana,1957,
botswana,1958,
botswana,1959,
botswana,1960,
botswana,1961,
botswana,1962,
botswana,1963,
botswana,1964,
botswana,1965,
botswana,1966,
botswana,1967,
botswana,1968,
botswana,1969,
botswana,1970,
botswana,1971,
botswana,1972,
botswana,1973,
botswana,1974,
botswana,1975,
brazil,1947,
brazil,1952,
brazil,1956,
brazil,1957,
brazil,1958,
brazil,1959,
brazil,1960,
brazil,1961,
brazil,1962,
brazil,1963,
brazil,1964,
brazil,1965,
brazil,1966,
brazil,1967,
brazil,1968,
brazil,1969,
brazil,1970,
brazil,1971,
brazil,1972,
brazil,1973,
brazil,1974,
brazil,1975,
british dependencies (west. hemisphere) -- listed separately,1947,
british dependencies (west. hemisphere) -- listed separately,1952,
british dependencies (west. hemisphere) -- listed separately,1956,
british dependencies (west. hemisphere) -- listed separately,1957,
british dependencies (west. hemisphere) -- listed separately,1958,
british dependencies (west. hemisphere) -- listed separately,1959,
british dependencies (west. hemisphere) -- listed separately,1960,
british dependencies (west. hemisphere) -- listed separately,1961,
british dependencies (west. hemisphere) -- listed separately,1962,
british dependencies (west. hemisphere) -- listed separately,1963,
british dependencies (west. hemisphere) -- listed separately,1964,
british dependencies (west. hemisphere) -- listed separately,1965,
british dependencies (west. hemisphere) -- listed separately,1966,
british dependencies (west. hemisphere) -- listed separately,1967,
british dependencies (west. hemisphere) -- listed separately,1968,
british dependencies (west. hemisphere) -- listed separately,1969,
british dependencies (west. hemisphere) -- listed separately,1970,
british dependencies (west. hemisphere) -- listed separately,1971,
british dependencies (west. hemisphere) -- listed separately,1972,
british dependencies (west. hemisphere) -- listed separately,1973,
british dependencies (west. hemisphere) -- listed separately,1974,
british dependencies (west. hemisphere) -- listed separately,1975,
british guiana,1947,
british guiana,1952,
british guiana,1956,
british guiana,1957,
british guiana,1958,
british guiana,1959,
british guiana,1960,
british guiana,1961,
british guiana,1962,
british guiana,1963,
british guiana,1964,
british guiana,1965,
british guiana,1966,
british guiana,1967,
british guiana,1968,
british guiana,1969,
british guiana,1970,
british guiana,1971,
british guiana,1972,
british guiana,1973,
british guiana,1974,
british guiana,1975,
bulgaria,1947,
bulgaria,1952,
bulgaria,1956,
bulgaria,1957,
bulgaria,1958,
bulgaria,1959,
bulgaria,1960,
bulgaria,1961,
bulgaria,1962,
bulgaria,1963,
bulgaria,1964,
bulgaria,1965,
bulgaria,1966,
bulgaria,1967,
bulgaria,1968,
bulgaria,1969,
bulgaria,1970,
bulgaria,1971,
bulgaria,1972,
bulgaria,1973,
bulgaria,1974,
bulgaria,1975,
burkina faso,1947,
burkina faso,1952,
burkina faso,1956,
burkina faso,1957,
burkina faso,1958,
burkina faso,1959,
burkina faso,1960,
burkina faso,1961,
burkina faso,1962,
burkina faso,1963,
burkina faso,1964,
burkina faso,1965,
burkina faso,1966,
burkina faso,1967,
burkina faso,1968,
burkina faso,1969,
burkina faso,1970,
burkina faso,1971,
burkina faso,1972,
burkina faso,1973,
burkina faso,1974,
burkina faso,1975,
burma,1947,
burma,1952,
burma,1956,
burma,1957,
burma,1958,
burma,1959,
burma,1960,
burma,1961,
burma,1962,
burma,1963,
burma,1964,
burma,1965,
burma,1966,
burma,1967,
burma,1968,
burma,1969,
burma,1970,
burma,1971,
burma,1972,
burma,1973,
burma,1974,
burma,1975,
burundi,1947,
burundi,1952,
burundi,1956,
burundi,1957,
burundi,1958,
burundi,1959,
burundi,1960,
burundi,1961,
burundi,1962,
burundi,1963,
burundi,1964,
burundi,1965,
burundi,1966,
burundi,1967,
burundi,1968,
burundi,1969,
burundi,1970,
burundi,1971,
burundi,1972,
burundi,1973,
burundi,1974,
burundi,1975,
cambodia,1947,
cambodia,1952,
cambodia,1956,
cambodia,1957,
cambodia,1958,
cambodia,1959,
cambodia,1960,
cambodia,1961,
cambodia,1962,
cambodia,1963,
cambodia,1964,
cambodia,1965,
cambodia,1966,
cambodia,1967,
cambodia,1968,
cambodia,1969,
cambodia,1970,
cambodia,1971,
cambodia,1972,
cambodia,1973,
cambodia,1974,
cambodia,1975,
cambodia (see khmer republic),1947,
cambodia (see khmer republic),1952,
cambodia (see khmer republic),1956,
cambodia (see khmer republic),1957,
cambodia (see khmer republic),1958,
cambodia (see khmer republic),1959,
cambodia (see khmer republic),1960,
cambodia (see khmer republic),1961,
cambodia (see khmer republic),1962,
cambodia (see khmer republic),1963,
cambodia (see khmer republic),1964,
cambodia (see khmer republic),1965,
cambodia (see khmer republic),1966,
cambodia (see khmer republic),1967,
cambodia (see khmer republic),1968,
cambodia (see khmer republic),1969,
cambodia (see khmer republic),1970,
cambodia (see khmer republic),1971,
cambodia (see khmer republic),1972,
cambodia (see khmer republic),1973,
cambodia (see khmer republic),1974,
cambodia (see khmer republic),1975,
cameroon,1947,
cameroon,1952,
cameroon,1956,
cameroon,1957,
cameroon,1958,
cameroon,1959,
cameroon,1960,
cameroon,1961,
cameroon,1962,
cameroon,1963,
cameroon,1964,
cameroon,1965,
cameroon,1966,
cameroon,1967,
cameroon,1968,
cameroon,1969,
cameroon,1970,
cameroon,1971,
cameroon,1972,
cameroon,1973,
cameroon,1974,
cameroon,1975,
canada,1947,
canada,1952,
canada,1956,
canada,1957,
canada,1958,
canada,1959,
canada,1960,
canada,1961,
canada,1962,
canada,1963,
canada,1964,
canada,1965,
canada,1966,
canada,1967,
canada,1968,
canada,1969,
canada,1970,
canada,1971,
canada,1972,
canada,1973,
canada,1974,
canada,1975,
central african republic,1947,
central african republic,1952,
central african republic,1956,
central african republic,1957,
central african republic,1958,
central african republic,1959,
central african republic,1960,
central african republic,1961,
central african republic,1962,
central african republic,1963,
central african republic,1964,
central african republic,1965,
central african republic,1966,
central african republic,1967,
central african republic,1968,
central african republic,1969,
central african republic,1970,
central african republic,1971,
central african republic,1972,
central african republic,1973,
central african republic,1974,
central african republic,1975,
ceylon,1947,
ceylon,1952,
ceylon,1956,
ceylon,1957,
ceylon,1958,
ceylon,1959,
ceylon,1960,
ceylon,1961,
ceylon,1962,
ceylon,1963,
ceylon,1964,
ceylon,1965,
ceylon,1966,
ceylon,1967,
ceylon,1968,
ceylon,1969,
ceylon,1970,
ceylon,1971,
ceylon,1972,
ceylon,1973,
ceylon,1974,
ceylon,1975,
chad,1947,
chad,1952,
chad,1956,
chad,1957,
chad,1958,
chad,1959,
chad,1960,
chad,1961,
chad,1962,
chad,1963,
chad,1964,
chad,1965,
chad,1966,
chad,1967,
chad,1968,
chad,1969,
chad,1970,
chad,1971,
chad,1972,
chad,1973,
chad,1974,
chad,1975,
chile,1947,
chile,1952,
chile,1956,
chile,1957,
chile,1958,
chile,1959,
chile,1960,
chile,1961,
chile,1962,
chile,1963,
chile,1964,
chile,1965,
chile,1966,
chile,1967,
chile,1968,
chile,1969,
chile,1970,
chile,1971,
chile,1972,
chile,1973,
chile,1974,
chile,1975,
china,1947,
china,1952,
china,1956,
china,1957,
china,1958,
china,1959,
china,1960,
china,1961,
china,1962,
china,1963,
china,1964,
china,1965,
china,1966,
china,1967,
china,1968,
china,1969,
china,1970,
china,1971,
china,1972,
china,1973,
china,1974,
china,1975,
"china, communist",1947,
"china, communist",1952,
"china, communist",1956,
"china, communist",1957,
"china, communist",1958,
"china, communist",1959,
"china, communist",1960,
"china, communist",1961,
"china, communist",1962,
"china, communist",1963,
"china, communist",1964,
"china, communist",1965,
"china, communist",1966,
"china, communist",1967,
"china, communist",1968,
"china, communist",1969,
"china, communist",1970,
"china, communist",1971,
"china, communist",1972,
"china, communist",1973,
"china, communist",1974,
"china, communist",1975,
"china, people's republic of",1947,
"china, people's republic of",1952,
"china, people's republic of",1956,
"china, people's republic of",1957,
"china, people's republic of",1958,
"china, people's republic of",1959,
"china, people's republic of",1960,
"china, people's republic of",1961,
"china, people's republic of",1962,
"china, people's republic of",1963,
"china, people's republic of",1964,
"china, people's republic of",1965,
"china, people's republic of",1966,
"china, people's republic of",1967,
"china, people's republic of",1968,
"china, people's republic of",1969,
"china, people's republic of",1970,
"china, people's republic of",1971,
"china, people's republic of",1972,
"china, people's republic of",1973,
"china, people's republic of",1974,
"china, people's republic of",1975,
"china, republic of",1947,
"china, republic of",1952,
"china, republic of",1956,
"china, republic of",1957,
"china, republic of",1958,
"china, republic of",1959,
"china, republic of",1960,
"china, republic of",1961,
"china, republic of",1962,
"china, republic of",1963,
"china, republic of",1964,
"china, republic of",1965,
"china, republic of",1966,
"china, republic of",1967,
"china, republic of",1968,
"china, republic of",1969,
"china, republic of",1970,
"china, republic of",1971,
"china, republic of",1972,
"china, republic of",1973,
"china, republic of",1974,
"china, republic of",1975,
colombia,1947,
colombia,1952,
colombia,1956,
colombia,1957,
colombia,1958,
colombia,1959,
colombia,1960,
colombia,1961,
colombia,1962,
colombia,1963,
colombia,1964,
colombia,1965,
colombia,1966,
colombia,1967,
colombia,1968,
colombia,1969,
colombia,1970,
colombia,1971,
colombia,1972,
colombia,1973,
colombia,1974,
colombia,1975,
"communist china (""people's republic of china"")",1947,
"communist china (""people's republic of china"")",1952,
"communist china (""people's republic of china"")",1956,
"communist china (""people's republic of china"")",1957,
"communist china (""people's republic of china"")",1958,
"communist china (""people's republic of china"")",1959,
"communist china (""people's republic of china"")",1960,
"communist china (""people's republic of china"")",1961,
"communist china (""people's republic of china"")",1962,
"communist china (""people's republic of china"")",1963,
"communist china (""people's republic of china"")",1964,
"communist china (""people's republic of china"")",1965,
"communist china (""people's republic of china"")",1966,
"communist china (""people's republic of china"")",1967,
"communist china (""people's republic of china"")",1968,
"communist china (""people's republic of china"")",1969,
"communist china (""people's republic of china"")",1970,
"communist china (""people's republic of china"")",1971,
"communist china (""people's republic of china"")",1972,
"communist china (""people's republic of china"")",1973,
"communist china (""people's republic of china"")",1974,
"communist china (""people's republic of china"")",1975,
comoro islands,1947,
comoro islands,1952,
comoro islands,1956,
comoro islands,1957,
comoro islands,1958,
comoro islands,1959,
comoro islands,1960,
comoro islands,1961,
comoro islands,1962,
comoro islands,1963,
comoro islands,1964,
comoro islands,1965,
comoro islands,1966,
comoro islands,1967,
comoro islands,1968,
comoro islands,1969,
comoro islands,1970,
comoro islands,1971,
comoro islands,1972,
comoro islands,1973,
comoro islands,1974,
comoro islands,1975,
comoros,1947,
comoros,1952,
comoros,1956,
comoros,1957,
comoros,1958,
comoros,1959,
comoros,1960,
comoros,1961,
comoros,1962,
comoros,1963,
comoros,1964,
comoros,1965,
comoros,1966,
comoros,1967,
comoros,1968,
comoros,1969,
comoros,1970,
comoros,1971,
comoros,1972,
comoros,1973,
comoros,1974,
comoros,1975,
congo (brazzaville),1947,
congo (brazzaville),1952,
congo (brazzaville),1956,
congo (brazzaville),1957,
congo (brazzaville),1958,
congo (brazzaville),1959,
congo (brazzaville),1960,
congo (brazzaville),1961,
congo (brazzaville),1962,
congo (brazzaville),1963,
congo (brazzaville),1964,
congo (brazzaville),1965,
congo (brazzaville),1966,
congo (brazzaville),1967,
congo (brazzaville),1968,
congo (brazzaville),1969,
congo (brazzaville),1970,
congo (brazzaville),1971,
congo (brazzaville),1972,
congo (brazzaville),1973,
congo (brazzaville),1974,
congo (brazzaville),1975,
congo (kinshasa),1947,
congo (kinshasa),1952,
congo (kinshasa),1956,
congo (kinshasa),1957,
congo (kinshasa),1958,
congo (kinshasa),1959,
congo (kinshasa),1960,
congo (kinshasa),1961,
congo (kinshasa),1962,
congo (kinshasa),1963,
congo (kinshasa),1964,
congo (kinshasa),1965,
congo (kinshasa),1966,
congo (kinshasa),1967,
congo (kinshasa),1968,
congo (kinshasa),1969,
congo (kinshasa),1970,
congo (kinshasa),1971,
congo (kinshasa),1972,
congo (kinshasa),1973,
congo (kinshasa),1974,
congo (kinshasa),1975,
congo (kinshasa) (see zaire),1947,
congo (kinshasa) (see zaire),1952,
congo (kinshasa) (see zaire),1956,
congo (kinshasa) (see zaire),1957,
congo (kinshasa) (see zaire),1958,
congo (kinshasa) (see zaire),1959,
congo (kinshasa) (see zaire),1960,
congo (kinshasa) (see zaire),1961,
congo (kinshasa) (see zaire),1962,
congo (kinshasa) (see zaire),1963,
congo (kinshasa) (see zaire),1964,
congo (kinshasa) (see zaire),1965,
congo (kinshasa) (see zaire),1966,
congo (kinshasa) (see zaire),1967,
congo (kinshasa) (see zaire),1968,
congo (kinshasa) (see zaire),1969,
congo (kinshasa) (see zaire),1970,
congo (kinshasa) (see zaire),1971,
congo (kinshasa) (see zaire),1972,
congo (kinshasa) (see zaire),1973,
congo (kinshasa) (see zaire),1974,
congo (kinshasa) (see zaire),1975,
congo (leopoldville),1947,
congo (leopoldville),1952,
congo (leopoldville),1956,
congo (leopoldville),1957,
congo (leopoldville),1958,
congo (leopoldville),1959,
congo (leopoldville),1960,
congo (leopoldville),1961,
congo (leopoldville),1962,
congo (leopoldville),1963,
congo (leopoldville),1964,
congo (leopoldville),1965,
congo (leopoldville),1966,
congo (leopoldville),1967,
congo (leopoldville),1968,
congo (leopoldville),1969,
congo (leopoldville),1970,
congo (leopoldville),1971,
congo (leopoldville),1972,
congo (leopoldville),1973,
congo (leopoldville),1974,
congo (leopoldville),1975,
costa rica,1947,
costa rica,1952,
costa rica,1956,
costa rica,1957,
costa rica,1958,
costa rica,1959,
costa rica,1960,
costa rica,1961,
costa rica,1962,
costa rica,1963,
costa rica,1964,
costa rica,1965,
costa rica,1966,
costa rica,1967,
costa rica,1968,
costa rica,1969,
costa rica,1970,
costa rica,1971,
costa rica,1972,
costa rica,1973,
costa rica,1974,
costa rica,1975,
council of the entente,1947,
council of the entente,1952,
council of the entente,1956,
council of the entente,1957,
council of the entente,1958,
council of the entente,1959,
council of the entente,1960,
council of the entente,1961,
council of the entente,1962,
council of the entente,1963,
council of the entente,1964,
council of the entente,1965,
council of the entente,1966,
council of the entente,1967,
council of the entente,1968,
council of the entente,1969,
council of the entente,1970,
council of the entente,1971,
council of the entente,1972,
council of the entente,1973,
council of the entente,1974,
council of the entente,1975,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1947,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1952,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1956,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1957,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1958,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1959,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1960,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1961,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1962,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1963,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1964,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1965,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1966,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1967,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1968,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1969,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1970,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1971,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1972,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1973,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1974,
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1975,
cuba,1947,
cuba,1952,
cuba,1956,
cuba,1957,
cuba,1958,
cuba,1959,
cuba,1960,
cuba,1961,
cuba,1962,
cuba,1963,
cuba,1964,
cuba,1965,
cuba,1966,
cuba,1967,
cuba,1968,
cuba,1969,
cuba,1970,
cuba,1971,
cuba,1972,
cuba,1973,
cuba,1974,
cuba,1975,
curacao,1947,
curacao,1952,
curacao,1956,
curacao,1957,
curacao,1958,
curacao,1959,
curacao,1960,
curacao,1961,
curacao,1962,
curacao,1963,
curacao,1964,
curacao,1965,
curacao,1966,
curacao,1967,
curacao,1968,
curacao,1969,
curacao,1970,
curacao,1971,
curacao,1972,
curacao,1973,
curacao,1974,
curacao,1975,
cyprus,1947,
cyprus,1952,
cyprus,1956,
cyprus,1957,
cyprus,1958,
cyprus,1959,
cyprus,1960,
cyprus,1961,
cyprus,1962,
cyprus,1963,
cyprus,1964,
cyprus,1965,
cyprus,1966,
cyprus,1967,
cyprus,1968,
cyprus,1969,
cyprus,1970,
cyprus,1971,
cyprus,1972,
cyprus,1973,
cyprus,1974,
cyprus,1975,
czechoslovakia,1947,
czechoslovakia,1952,
czechoslovakia,1956,
czechoslovakia,1957,
czechoslovakia,1958,
czechoslovakia,1959,
czechoslovakia,1960,
czechoslovakia,1961,
czechoslovakia,1962,
czechoslovakia,1963,
czechoslovakia,1964,
czechoslovakia,1965,
czechoslovakia,1966,
czechoslovakia,1967,
czechoslovakia,1968,
czechoslovakia,1969,
czechoslovakia,1970,
czechoslovakia,1971,
czechoslovakia,1972,
czechoslovakia,1973,
czechoslovakia,1974,
czechoslovakia,1975,
dahomey,1947,
dahomey,1952,
dahomey,1956,
dahomey,1957,
dahomey,1958,
dahomey,1959,
dahomey,1960,
dahomey,1961,
dahomey,1962,
dahomey,1963,
dahomey,1964,
dahomey,1965,
dahomey,1966,
dahomey,1967,
dahomey,1968,
dahomey,1969,
dahomey,1970,
dahomey,1971,
dahomey,1972,
